Site,Lat,Long,Height,Sat System
SOD3,67.4205556,26.3891667,300.8,GPS+GLO+GAL+BDS+SBAS
STJ3,47.5952778,-52.6780556,154.515,GPS+GLO+GAL+BDS+SBAS
THTG,-17.5769444,-149.6063889,97.994,GPS+GLO+GAL+BDS+SBAS
TIT2,51.0352778,6.4313889,156.1,GPS+GLO+GAL+BDS+SBAS
TLSE,43.5605556,1.4808333,207.2,GPS+GLO+GAL+BDS+SBAS
TLSG,43.5494444,1.485,208.753,GPS+GLO+GAL+BDS+SBAS
UNB3,45.95,-66.6416667,22.85,GPS+GLO+GAL+BDS+SBAS
VILL,40.4433333,-3.9519444,647.5,GPS+GLO+GAL+BDS+SBAS
WARN,54.1697222,12.1013889,50.7,GPS+GLO+GAL+BDS+SBAS
WTZR,49.1441667,12.8788889,666,GPS+GLO+GAL+BDS+SBAS
WTZS,49.1447222,12.8952778,663.43,GPS+GLO+GAL+BDS+SBAS
WTZZ,49.1441667,12.8788889,665.89,GPS+GLO+GAL+BDS+SBAS
YEL2,62.4811111,-114.4808333,181.008,GPS+GLO+GAL+BDS+SBAS
JOG2,-7.7636111,110.3725,250,GPS+GLO+GAL+QZSS
KIT3,39.14,66.88,643,GPS+GLO+GAL+QZSS
NYA2,78.86,11.87,84.2,GPS+GLO+GAL+QZSS
OUS2,-45.8694444,170.5108333,26.1,GPS+GLO+GAL+QZSS
RIO2,-53.7852778,-67.7511111,32,GPS+GLO+GAL+QZSS
CHOF,35.6744444,139.5308333,93.9,GPS+GLO+GAL+QZSS+IRNSS+SBAS
UNX2,-33.9175,151.2316667,87.07,GPS+GLO+GAL+QZSS+IRNSS+SBAS
TASH,41.3277778,69.2955556,439.7,GPS+GLO+GAL+QZSS+SBAS
TONG,-21.1444444,-175.1791667,56.3,GPS+GLO+GAL+QZSS+SBAS
ULAB,47.67,107.05,1611.7,GPS+GLO+GAL+QZSS+SBAS
WUH2,30.5316667,114.3572222,25.8,GPS+GLO+GAL+QZSS+SBAS
HOFN,64.2672222,-15.1866667,82.5,GPS+GLO+GAL+SBAS
LROC,46.1588889,-1.2191667,57.9,GPS+GLO+GAL+SBAS
M0SE,41.8930556,12.4930556,120.6,GPS+GLO+GAL+SBAS
NURK,-1.9444444,30.0897222,1485.3,GPS+GLO+GAL+SBAS
OHI2,-63.3208333,-57.9011111,33.1,GPS+GLO+GAL+SBAS
SFER,36.4641667,-6.2055556,85.8,GPS+GLO+GAL+SBAS
SGOC,6.8919444,79.8741667,-78.5,GPS+GLO+GAL+SBAS
STFU,37.4266667,-122.1730556,20.41,GPS+GLO+GAL+SBAS
UNBN,45.95,-66.6416667,22.85,GPS+GLO+GAL+SBAS
USN8,38.9205556,-77.0661111,58.924,GPS+GLO+GAL+SBAS
USN9,38.9205556,-77.0661111,58.924,GPS+GLO+GAL+SBAS
WTZ3,49.1447222,12.8786111,663.4,GPS+GLO+GAL+SBAS
YARR,-29.0463889,115.3469444,241.382,GPS+GLO+GAL+SBAS
ZIMJ,46.8769444,7.465,954.3,GPS+GLO+GAL+SBAS
AIRA,31.8238889,130.5994444,314.64,GPS+GLO+QZSS
CCJ2,27.0675,142.195,104.214,GPS+GLO+QZSS
STK2,43.5286111,141.8447222,118.54,GPS+GLO+QZSS
TSK2,36.1055556,140.0869444,69.93,GPS+GLO+QZSS
KOUC,-20.5586111,164.2872222,84.17,GPS+GLO+QZSS+GAL+BDS
TWTF,24.9533333,121.1644444,203.122,GPS+GLO+QZSS+SBAS
CIT1,34.1366667,-118.1272222,215.35,GPS+GLO+SBAS
CRFP,34.0388889,-117.0994444,688.82,GPS+GLO+SBAS
GRAS,43.7547222,6.9205556,1319.3,GPS+GLO+SBAS
QAQ1,60.715,-46.0477778,110.4,GPS+GLO+SBAS
SULP,49.8355556,24.0144444,370.5,GPS+GLO+SBAS
THTI,-17.5769444,-149.6063889,98.49,GPS+GLO+SBAS
WIDC,33.9347222,-116.3916667,445.04,GPS+GLO+SBAS
TABL,34.3816667,-117.6780556,2228.03,GPS+SBAS
